text,label
"A vasúti személyszállításra kötött szerződésekre a Ptk.-nak a szerződésekre vonatkozó általános, továbbá a vállalkozási szerződésre vonatkozó rendelkezéseit a Vszsz.-ben, illetve meghatározott esetekben a Tvszsz.-ben foglalt kiegészítésekkel kell alkalmazni.",1
"Határon átmenő, a vasúti társaság által végzett személyszállítás esetén a jelen Üzletszabályzat rendelkezéseit csak akkor kell alkalmazni, amennyiben jogszabály, nemzetközi szerződés, egyezmény, illetőleg szabály eltérően nem rendelkezik.",2
"Jelen Üzletszabályzat rendelkezései az utazásszervező és -közvetítő tevékenységről szóló 213/1996. (XII. 23.) Korm. rendelet szerinti tevékenységekre csak akkor alkalmazandók, ha az utazási szerződés kifejezetten így rendelkezik.",1
A HÉV által végzett személyszállításra vonatkozó rendelkezéseket külön üzletszabályzat tartalmazza.,4
"Díj ellenében végzett személyszállítás az a vasúti személyszállítás, amelyet – a közzétett feltételek alkalmazásával, díj ellenében – bárki igénybe vehet (a továbbiakban: közforgalmú vasúti személyszállítási szolgáltatás), valamint a közforgalmú, menetrenden kívül közlekedtetett vonatokkal végzett személyszállítás (a továbbiakban: különvonat).",3
A Vtv. 69. § 25. pontja alapján a vasúti társaság Üzletszabályzatának jóváhagyása a Vtv. szerinti vasúti igazgatási szerv hatáskörébe tartozik.,1
"A szerződés létrejötte: Az utas és a vasúti társaság közötti személyszállítási szerződés a menetjegy megvásárlásával jön létre, és attól az időponttól hatályos, amikor az utas utazási céllal a járműre felszáll, a vasútállomás vagy a megállóhely zárt peronként megjelölt területére belép. Ha az utas jogszabály vagy jelen Üzletszabályzat rendelkezése alapján menetjegy váltása nélkül jogosult utazását megkezdeni, a személyszállítási szerződés akkor jön létre, amikor az ilyen utas utazási céllal a járműre felszáll vagy a vasútállomás vagy megállóhely zárt peronként megjelölt területére belép.",2
"A szerződés hatálya, megszűnése: A személyszállítási szerződés az utazás befejezéséig hatályos. Az utazás akkor fejeződik be, amikor az utas a céljának megfelelő vasútállomáson vagy megállóhelyen az utas a járműről leszáll, illetve a zárt peronként megjelölt területét elhagyja, valamint ha a célja elérése előtt az utazásról (továbbutazásról) jelen Üzletszabályzat rendelkezései szerint lemond, vagy ha az utast a vasúti társaság az utazásból kizárja.",3
"A szerződések kombinálása: Az egymás utáni utazásra szóló menetjegyek megvásárlásával létrejött jogviszonyok akkor tekinthetők egy szerződésnek, ha azokat egymással a jegyértékesítés alkalmával összefüggésbe hozták, vagy azokat eleve több közlekedési szolgáltatóra adták ki. A belföldi és a nemzetközi menetjegyek kombinálása nem lehetséges, azokat minden esetben külön szerződésnek kell tekinteni. A nemzetközi utazásra vonatkozó szállítási feltételeket a nemzetközi díjszabások tartalmazzák, melyek kivonata – a teljesség igénye nélkül – megtalálható jelen üzletszabályzat A. Függelékében. A nemzetközi utazásra vonatkozó szállítási feltételek és díjszabások teljes és hatályos szövegét a MÁV Személyszállítási Zrt. a honlapján teszi közzé.",2
"Amennyiben az utas jelen Üzletszabályzat feltételeit elfogadja, és a közforgalmú vasúti személyszállítási szolgáltatás a vasúti társaság által a közforgalmú menetrendben meghirdetett járatokkal lehetséges, a vasúti társaság köteles a személyszállítási szolgáltatás igénybevételét valamennyi utazni kívánó személy számára hátrányos megkülönböztetés nélkül lehetővé tenni.",2
