text,label,predicted,error,correct,confidence,predicted_proba_true_class
"2. Ügyfélnek tekintendő az a természetes személy, jogi személy vagy jogi személyiséggel nem rendelkező szervezet, akinek az OTP Bank Nyrt. pénzügyi szolgáltatást (ideértve a kiegészítő pénzügyi szolgáltatást is) nyújt, vagy aki az OTP Bank Nyrt. befektetési szolgáltatási tevékenységét (ideértve a kiegészítő szolgáltatását is), vagy a vonatkozó jogszabályok alapján az OTP Bank Nyrt. által nyújtható egyéb szolgáltatását igénybe veszi, illetve aki ilyen szolgáltatás nyújtását kéri az OTP Bank Nyrt.-től.",3,4,1,False,0.8584871098567632,0.055380472241658464
"4. Az OTP Bank Nyrt. az Üzletszabályzatban foglalt jogait és kötelezettségeit mindenkor a hatályos jogszabályok eltérést nem engedő rendelkezéseinek keretei között gyakorolja és teljesíti, az Üzletszabályzat bármely rendelkezése ennek megfelelően értelmezendő.",3,2,1,False,0.7998184584702255,0.05523291291734533
"6. Amennyiben az OTP Bank Nyrt. valamely szolgáltatását megszünteti, az ezen szolgáltatásra az Ügyféllel kötött szerződést 30 napos felmondási idővel jogosult megszüntetni.",4,3,1,False,0.7639432325387052,0.15788032302714242
"1. Az OTP Bank Nyrt. jogosult meggyőződni az Ügyfél, illetőleg képviselője személyazonosságáról. E célból kérheti, hogy az Ügyfél vagy képviselője személyazonosságát hitelt érdemlően igazolja.",5,3,2,False,0.8414001330936004,0.0007770678005170738
2. Az OTP Bank Nyrt. a pénzmosás és a terrorizmus finanszírozása megelőzéséről és megakadályozásáról szóló jogszabály szerinti ügyfél-azonosítás rendjéről hirdetményben tájékoztatja Ügyfeleit.,4,2,2,False,0.7019297041859516,0.1731159462080978
"3. Az OTP Bank Nyrt. - a telefonos csatornán, illetve az OTP Bank Nyrt. honlapján elérhető OTP Chat szolgáltatásban - a mindenkori Soft azonosítás keretében elérhető szolgáltatások köréről szóló Hirdetményekben meghatározott banki és egyéb műveletek lebonyolítását vállalja.",3,4,1,False,0.47532671573841695,0.01714786561999394
"5. Az OTP Bank Nyrt. jogosult meggyőződni az Ügyfél képviselőjének képviseleti jogáról. E célból kérheti, hogy az Ügyfél képviselője képviseleti jogát hitelt érdemlően igazolja. Az OTP Bank Nyrt. a hozzá bejelentett képviselőket mindaddig az Ügyfél képviselőjének tekinti, amíg a képviseleti jog visszavonásáról vagy annak egyéb módon történő megszűnéséről szóló írásbeli értesítés az OTP Bank Nyrt. megfelelő szervéhez be nem érkezik. Amennyiben a képviseleti jogot igazoló okiratból kétséget kizáróan ki nem tűnik, úgy a képviselő képviseleti jogának korlátozása  jogszabály ellenkező rendelkezése hiányában  az OTP Bank Nyrt.-vel szemben hatálytalan.",2,3,1,False,0.8375678869715116,0.019549501989356125
"8. Az OTP Bank Nyrt. a nem Magyarország területén, és nem Magyarország joghatósága alatt készült meghatalmazást a III.8-9. pontban meghatározott formában fogad el. Az OTP Bank Nyrt. a külügyekért felelős miniszter által arra felhatalmazott konzul készítette konzuli tanúsítványt, valamint az arra felhatalmazott tiszteletbeli konzul által készített konzuli tanúsítványt Magyarország területén kiállított okiratnak tekinti.",2,4,2,False,0.6812207027944955,0.2746011726790426
"13. A pénzügyi és egyéb szolgáltatók azonosítási feladatához kapcsolódó adatszolgáltatási háttér megteremtéséről és működtetéséről szóló 2021. évi XLIII. törvényben (a továbbiakban: Afad tv.) foglaltak alapján az OTP Bank Nyrt. a nyilvántartó szerv Afad tv. 14.  (1) bekezdés szerinti közzététele alapján megtagadja a megbízhatatlan minősítésű tényleges tulajdonosi adatokkal rendelkező adatszolgáltató által kezdeményezett, négymillió-ötszázezer forintot elérő összegű ügylet teljesítését.",2,2,0,True,0.6036699879279289,0.6036699879279289
"1. Az OTP Bank Nyrt. és az Ügyfél szerződéses kapcsolataikban megfelelően együttműködnek és így a bankügylet szempontjából jelentős tényekről, azok változásáról egymást késedelem nélkül értesítik. Az OTP Bank Nyrt. az együttműködés és a tájékoztatás során az olyan Ügyfél magatartását veszi alapul, aki észszerűen tájékozottan, az adott helyzetben általában elvárható figyelmességgel és körültekintéssel jár el.",4,4,0,True,0.5978770183398421,0.5978770183398421
