text,label,predicted,error,correct,confidence,predicted_proba_true_class
"2. Ügyfélnek tekintendő az a természetes személy, jogi személy vagy jogi személyiséggel nem rendelkező szervezet, akinek az OTP Bank Nyrt. pénzügyi szolgáltatást (ideértve a kiegészítő pénzügyi szolgáltatást is) nyújt, vagy aki az OTP Bank Nyrt. befektetési szolgáltatási tevékenységét (ideértve a kiegészítő szolgáltatását is), vagy a vonatkozó jogszabályok alapján az OTP Bank Nyrt. által nyújtható egyéb szolgáltatását igénybe veszi, illetve aki ilyen szolgáltatás nyújtását kéri az OTP Bank Nyrt.-től.",3,1,2,False,0.26556242245715567,0.18693152344170927
"4. Az OTP Bank Nyrt. az Üzletszabályzatban foglalt jogait és kötelezettségeit mindenkor a hatályos jogszabályok eltérést nem engedő rendelkezéseinek keretei között gyakorolja és teljesíti, az Üzletszabályzat bármely rendelkezése ennek megfelelően értelmezendő.",3,2,1,False,0.22804006912726896,0.1737441173341972
"6. Amennyiben az OTP Bank Nyrt. valamely szolgáltatását megszünteti, az ezen szolgáltatásra az Ügyféllel kötött szerződést 30 napos felmondási idővel jogosult megszüntetni.",4,4,0,True,0.23133856100109398,0.23133856100109398
"1. Az OTP Bank Nyrt. jogosult meggyőződni az Ügyfél, illetőleg képviselője személyazonosságáról. E célból kérheti, hogy az Ügyfél vagy képviselője személyazonosságát hitelt érdemlően igazolja.",5,4,1,False,0.24979122382974556,0.1727884693140949
2. Az OTP Bank Nyrt. a pénzmosás és a terrorizmus finanszírozása megelőzéséről és megakadályozásáról szóló jogszabály szerinti ügyfél-azonosítás rendjéről hirdetményben tájékoztatja Ügyfeleit.,4,4,0,True,0.2323702006888943,0.2323702006888943
"3. Az OTP Bank Nyrt. - a telefonos csatornán, illetve az OTP Bank Nyrt. honlapján elérhető OTP Chat szolgáltatásban - a mindenkori Soft azonosítás keretében elérhető szolgáltatások köréről szóló Hirdetményekben meghatározott banki és egyéb műveletek lebonyolítását vállalja.",3,5,2,False,0.23767260271576385,0.15755221978010434
"5. Az OTP Bank Nyrt. jogosult meggyőződni az Ügyfél képviselőjének képviseleti jogáról. E célból kérheti, hogy az Ügyfél képviselője képviseleti jogát hitelt érdemlően igazolja. Az OTP Bank Nyrt. a hozzá bejelentett képviselőket mindaddig az Ügyfél képviselőjének tekinti, amíg a képviseleti jog visszavonásáról vagy annak egyéb módon történő megszűnéséről szóló írásbeli értesítés az OTP Bank Nyrt. megfelelő szervéhez be nem érkezik. Amennyiben a képviseleti jogot igazoló okiratból kétséget kizáróan ki nem tűnik, úgy a képviselő képviseleti jogának korlátozása  jogszabály ellenkező rendelkezése hiányában  az OTP Bank Nyrt.-vel szemben hatálytalan.",2,4,2,False,0.23208880181396901,0.20061598106501977
"8. Az OTP Bank Nyrt. a nem Magyarország területén, és nem Magyarország joghatósága alatt készült meghatalmazást a III.8-9. pontban meghatározott formában fogad el. Az OTP Bank Nyrt. a külügyekért felelős miniszter által arra felhatalmazott konzul készítette konzuli tanúsítványt, valamint az arra felhatalmazott tiszteletbeli konzul által készített konzuli tanúsítványt Magyarország területén kiállított okiratnak tekinti.",2,4,2,False,0.2720816794668177,0.19128111808585965
"13. A pénzügyi és egyéb szolgáltatók azonosítási feladatához kapcsolódó adatszolgáltatási háttér megteremtéséről és működtetéséről szóló 2021. évi XLIII. törvényben (a továbbiakban: Afad tv.) foglaltak alapján az OTP Bank Nyrt. a nyilvántartó szerv Afad tv. 14.  (1) bekezdés szerinti közzététele alapján megtagadja a megbízhatatlan minősítésű tényleges tulajdonosi adatokkal rendelkező adatszolgáltató által kezdeményezett, négymillió-ötszázezer forintot elérő összegű ügylet teljesítését.",2,1,1,False,0.23794086791925906,0.1831913955461635
"1. Az OTP Bank Nyrt. és az Ügyfél szerződéses kapcsolataikban megfelelően együttműködnek és így a bankügylet szempontjából jelentős tényekről, azok változásáról egymást késedelem nélkül értesítik. Az OTP Bank Nyrt. az együttműködés és a tájékoztatás során az olyan Ügyfél magatartását veszi alapul, aki észszerűen tájékozottan, az adott helyzetben általában elvárható figyelmességgel és körültekintéssel jár el.",4,4,0,True,0.281018328681171,0.281018328681171
"2. Az ügylettel összefüggő egymáshoz intézett kérdésekre kötelesek legkésőbb 30 napon belül választ adni, és felhívni egymás figyelmét az esetleges tévedésekre, mulasztásokra.",5,4,1,False,0.24619680292316967,0.19290689082762877
3. Az OTP Bank Nyrt. bármilyen jog vagy tény fennállását igazoló okirat esetében kérheti 30 (harminc) napnál nem régebbi keltezésű eredeti példány rendelkezésre bocsátását.,4,4,0,True,0.26051785916821124,0.26051785916821124
"4. Az OTP Bank Nyrt. hatósági igazolványt és hatósági bizonyítványt az abban foglalt érvényességi idő lejártának napjáig fogad el. Amennyiben az adott ügyletre vonatkozó szerződés, üzletági üzletszabályzat vagy az Üzletszabályzat kifejezetten eltérően nem rendelkezik, érvényességi időt nem tartalmazó hatósági bizonyítványt az OTP Bank Nyrt. kizárólag 30 (harminc) napnál nem régebbi keltezéssel fogad el.",3,2,1,False,0.23648001147668818,0.14454918825031943
"6. Amennyiben az adott ügyletre vonatkozó szerződés, üzletági üzletszabályzat vagy az Üzletszabályzat kifejezetten eltérően nem rendelkezik, akkor okiraton, nyilatkozaton, értesítésen papír alapú okiratot kell érteni. Az OTP Bank Nyrt. elektronikus okiratot a jogszabályok által előírt körben és a vonatkozó üzletági üzletszabályzatban, egyedi szerződésben meghatározott módon fogad el.",2,2,0,True,0.2599266374560717,0.2599266374560717
"8. Az OTP Bank Nyrt. nem Magyarország területén, illetve nem Magyarország joghatósága alatt kiállított közokiratot - nemzetközi szerződés eltérő rendelkezése hiányában  kizárólag diplomáciai felülhitelesítéssel ellátott vagy a külföldön felhasználásra kerülő közokiratok diplomáciai vagy konzuli hitelesítésének (felülhitelesítésének) mellőzéséről Hágában, az 1961. október 5. napján kelt egyezmény kihirdetéséről szóló 1973. évi 11. törvényerejű rendelet szabályai szerinti Apostille-záradékkal ellátott formában fogad el.",1,4,3,False,0.2655198394831695,0.1949171126831606
"9. Amennyiben nemzetközi szerződés a külföldön kiállított okiratnak a 8. pontban meghatározottól eltérő formában való elfogadását írja elő, úgy a nemzetközi szerződés fennállását, hatályát és tartalmát az OTP Bank Nyrt.  az Ügyfél közreműködésével  vizsgálja. Ennek keretében az Ügyfelet az OTP Bank Nyrt. felkérheti az Ügyfél által hivatkozott nemzetközi szerződés megjelölésére, annak igazolására, hogy a nemzetközi szerződés személyi, tárgyi és időbeli hatálya az ügyben alkalmazandó, valamint annak közlésére, hogy mely okirati körre vonatkozóan írja elő a nemzetközi szerződés a 8. pontban meghatározottaktól eltérő okirati forma elfogadását.",2,5,3,False,0.22225461445476422,0.21600740462597642
